code,name,province_code,province_name,locality_type,source_data_status
1206302000,Banga,1206300000,South Cotabato,MUNICIPALITY,CALIBRATED
1206306000,City of Koronadal,1206300000,South Cotabato,CITY,CALIBRATED
1206311000,Norala,1206300000,South Cotabato,MUNICIPALITY,CALIBRATED
1206312000,Polomolok,1206300000,South Cotabato,MUNICIPALITY,CALIBRATED
1206313000,Surallah,1206300000,South Cotabato,MUNICIPALITY,CALIBRATED
1206314000,Tampakan,1206300000,South Cotabato,MUNICIPALITY,CALIBRATED
1206315000,Tantangan,1206300000,South Cotabato,MUNICIPALITY,CALIBRATED
1206316000,T'Boli,1206300000,South Cotabato,MUNICIPALITY,CALIBRATED
1206317000,Tupi,1206300000,South Cotabato,MUNICIPALITY,CALIBRATED
1206318000,Santo Niño,1206300000,South Cotabato,MUNICIPALITY,CALIBRATED
1206319000,Lake Sebu,1206300000,South Cotabato,MUNICIPALITY,CALIBRATED
