YEAR,MUNICIPALITY,MUNICIPALITY_CODE,POSTERIOR_MEAN_CASES,LOWER_CREDIBLE_CASES,UPPER_CREDIBLE_CASES,MEAN_OUTBREAK_PROBABILITY,MAX_OUTBREAK_PROBABILITY,AUTOMATIC_OUTBREAK_ALERT_MONTHS,MAX_CRITICAL_BARANGAYS
2026,Banga,1206302000,339.364000,0.000000,1122.775000,0.181182,0.344000,0,0
2026,City of Koronadal,1206306000,102.572000,0.000000,635.925000,0.059889,0.172000,0,0
2026,Lake Sebu,1206319000,245.500000,0.000000,868.250000,0.257912,0.376000,0,0
2026,Norala,1206311000,191.176000,0.000000,666.500000,0.107905,0.176000,0,0
2026,Polomolok,1206312000,630.852000,17.450000,1785.875000,0.302377,0.472000,72,0
2026,Santo Niño,1206318000,149.492000,0.000000,510.275000,0.167667,0.316000,0,0
2026,Surallah,1206313000,448.824000,0.000000,1281.450000,0.140608,0.304000,59,0
2026,T'Boli,1206316000,344.092000,0.000000,1189.775000,0.262307,0.424000,0,0
2026,Tampakan,1206314000,197.672000,0.000000,672.725000,0.164405,0.328000,0,0
2026,Tantangan,1206315000,50.000000,0.000000,304.175000,0.077026,0.172000,0,0
2026,Tupi,1206317000,230.908000,0.000000,775.150000,0.026489,0.176000,2,0
2027,Banga,1206302000,347.164000,0.000000,1139.050000,0.189470,0.344000,0,0
2027,City of Koronadal,1206306000,104.572000,0.000000,650.025000,0.062074,0.156000,0,0
2027,Lake Sebu,1206319000,246.084000,0.000000,869.150000,0.262211,0.408000,0,0
2027,Norala,1206311000,192.108000,0.000000,673.175000,0.111071,0.180000,0,0
2027,Polomolok,1206312000,645.796000,16.450000,1826.975000,0.313116,0.476000,96,0
2027,Santo Niño,1206318000,150.736000,0.000000,502.850000,0.174633,0.344000,0,0
2027,Surallah,1206313000,454.900000,0.000000,1315.100000,0.146431,0.276000,74,0
2027,T'Boli,1206316000,354.472000,0.000000,1213.000000,0.272627,0.416000,0,0
2027,Tampakan,1206314000,202.896000,0.000000,694.500000,0.173262,0.360000,0,0
2027,Tantangan,1206315000,50.728000,0.000000,304.525000,0.076436,0.196000,0,0
2027,Tupi,1206317000,223.732000,0.000000,749.050000,0.024978,0.204000,0,0
2028,Banga,1206302000,353.364000,0.000000,1181.675000,0.196333,0.384000,0,0
2028,City of Koronadal,1206306000,106.144000,0.000000,638.025000,0.061938,0.168000,0,0
2028,Lake Sebu,1206319000,252.964000,0.000000,894.025000,0.269053,0.408000,0,0
2028,Norala,1206311000,194.452000,0.000000,674.725000,0.115310,0.212000,0,0
2028,Polomolok,1206312000,657.556000,16.000000,1881.825000,0.320333,0.492000,109,0
2028,Santo Niño,1206318000,151.400000,0.000000,507.400000,0.171967,0.300000,0,0
2028,Surallah,1206313000,462.144000,0.000000,1337.675000,0.156510,0.300000,69,0
2028,T'Boli,1206316000,361.652000,0.000000,1236.650000,0.279813,0.428000,0,0
2028,Tampakan,1206314000,202.656000,0.000000,684.375000,0.172929,0.328000,0,0
2028,Tantangan,1206315000,52.380000,0.000000,311.525000,0.079615,0.184000,0,0
2028,Tupi,1206317000,219.396000,0.000000,753.825000,0.025311,0.180000,0,0
2029,Banga,1206302000,359.492000,0.000000,1194.900000,0.201000,0.360000,0,0
2029,City of Koronadal,1206306000,105.936000,0.000000,639.800000,0.062247,0.168000,0,0
2029,Lake Sebu,1206319000,257.828000,0.000000,904.250000,0.276281,0.384000,0,0
