YEAR,CALIBRATION_STATUS,POSTERIOR_MEAN_CASES,LOWER_CREDIBLE_CASES,UPPER_CREDIBLE_CASES,AUTOMATIC_OUTBREAK_ALERT_MONTHS,MAX_OUTBREAK_PROBABILITY
2026,CALIBRATED_SOUTH_COTABATO,2930.452000,17.450000,9812.875000,133,0.472000
2027,CALIBRATED_SOUTH_COTABATO,2973.188000,16.450000,9937.400000,170,0.476000
2028,CALIBRATED_SOUTH_COTABATO,3014.108000,16.000000,10101.725000,178,0.492000
2029,CALIBRATED_SOUTH_COTABATO,3043.384000,15.675000,10264.025000,171,0.480000
2030,CALIBRATED_SOUTH_COTABATO,3084.056000,12.900000,10433.175000,198,0.496000
2031,CALIBRATED_SOUTH_COTABATO,3107.592000,16.450000,10607.550000,188,0.492000
2032,CALIBRATED_SOUTH_COTABATO,3121.596000,11.225000,10711.825000,179,0.520000
2033,CALIBRATED_SOUTH_COTABATO,3126.576000,8.675000,10811.000000,205,0.500000
2034,CALIBRATED_SOUTH_COTABATO,3133.380000,11.225000,10919.475000,186,0.512000
2035,CALIBRATED_SOUTH_COTABATO,3138.024000,3.900000,11064.175000,194,0.504000
2036,CALIBRATED_SOUTH_COTABATO,3144.028000,8.000000,11219.225000,184,0.520000
2037,CALIBRATED_SOUTH_COTABATO,3139.760000,3.675000,11306.450000,141,0.512000
2038,CALIBRATED_SOUTH_COTABATO,3128.636000,3.000000,11395.525000,182,0.496000
2039,CALIBRATED_SOUTH_COTABATO,3126.772000,2.675000,11442.500000,168,0.480000
2040,CALIBRATED_SOUTH_COTABATO,3124.444000,0.000000,11583.225000,167,0.484000
2041,CALIBRATED_SOUTH_COTABATO,3108.888000,0.000000,11670.975000,180,0.464000
2042,CALIBRATED_SOUTH_COTABATO,3107.888000,0.000000,11750.425000,171,0.476000
2043,CALIBRATED_SOUTH_COTABATO,3097.740000,0.000000,11874.275000,143,0.468000
2044,CALIBRATED_SOUTH_COTABATO,3076.288000,0.000000,11919.950000,195,0.460000
2045,CALIBRATED_SOUTH_COTABATO,3088.968000,1.000000,12108.725000,143,0.460000
2046,CALIBRATED_SOUTH_COTABATO,3072.396000,0.000000,12148.925000,160,0.460000
2047,CALIBRATED_SOUTH_COTABATO,3064.408000,0.000000,12313.950000,128,0.492000
2048,CALIBRATED_SOUTH_COTABATO,3043.228000,0.000000,12341.775000,144,0.476000
2049,CALIBRATED_SOUTH_COTABATO,3037.956000,0.000000,12433.250000,155,0.448000
2050,CALIBRATED_SOUTH_COTABATO,3027.796000,0.000000,12538.300000,146,0.452000
