NODE_ID,PSGC,BARANGAY,MUNICIPALITY,MUNICIPALITY_CODE,PROVINCE,PROVINCE_CODE,AREA_KM2,CENTROID_LON,CENTROID_LAT,BOUNDARY_NAME_NORMALIZED,LOCALITY_NAME_NORMALIZED,CALIBRATION_STATUS,OUTBREAK_CASE_THRESHOLD,HISTORICAL_OR_PRIOR_MONTHLY_MEAN,HISTORICAL_OR_PRIOR_MONTHLY_STD,ANNUAL_GROWTH_RATE,NEIGHBOR_COUNT
0,1206302002,Benitez,Banga,1206302000,South Cotabato,1206300000,1.935616,124.78082880820168,6.413269173000032,BENITEZ,BANGA,CALIBRATED_SOUTH_COTABATO,3.0,1.2845558528911636,0.750294973703693,0.03,7
1,1206302003,Cabudian,Banga,1206302000,South Cotabato,1206300000,3.964544,124.73218900036602,6.4378989615000535,CABUDIAN,BANGA,CALIBRATED_SOUTH_COTABATO,3.0,1.1083061806688659,0.6475871420327922,0.03,4
2,1206302004,Cabuling,Banga,1206302000,South Cotabato,1206300000,6.233713,124.79217449677907,6.395037176000045,CABULING,BANGA,CALIBRATED_SOUTH_COTABATO,3.0,1.068916680628349,0.6240909248073306,0.03,5
3,1206302005,Cinco,Banga,1206302000,South Cotabato,1206300000,10.520174,124.77643399679212,6.380423355000061,CINCO,BANGA,CALIBRATED_SOUTH_COTABATO,3.0,1.3439251157478862,0.7844381089919966,0.03,6
4,1206302006,Derilon,Banga,1206302000,South Cotabato,1206300000,3.774655,124.8504060393465,6.319673985000038,DERILON,BANGA,CALIBRATED_SOUTH_COTABATO,2.0,0.8989400695654436,0.5246432196399337,0.03,4
5,1206302007,El Nonok,Banga,1206302000,South Cotabato,1206300000,22.937832,124.81101934675425,6.425562671000052,EL NONOK,BANGA,CALIBRATED_SOUTH_COTABATO,3.0,1.1428002139043447,0.6674445673947301,0.03,12
6,1206302008,Improgo Village,Banga,1206302000,South Cotabato,1206300000,0.184596,124.7796241662686,6.42709112600005,IMPROGO VILLAGE,BANGA,CALIBRATED_SOUTH_COTABATO,2.0,0.9649535904577085,0.5633209244255539,0.03,4
7,1206302009,Kusan,Banga,1206302000,South Cotabato,1206300000,13.004261,124.74041742909941,6.402493727649065,KUSAN,BANGA,CALIBRATED_SOUTH_COTABATO,2.0,0.8823565831512806,0.5151332040457633,0.03,6
8,1206302010,Lam-Apos,Banga,1206302000,South Cotabato,1206300000,4.701166,124.87499441423103,6.322505438836854,LAM APOS,BANGA,CALIBRATED_SOUTH_COTABATO,3.0,1.0606249374212675,0.6193370596229882,0.03,7
9,1206302011,Lamba,Banga,1206302000,South Cotabato,1206300000,20.270686,124.8313500810922,6.364337086500058,LAMBA,BANGA,CALIBRATED_SOUTH_COTABATO,3.0,1.3732449203424983,0.8016404095575316,0.03,10
10,1206302012,Lambingi,Banga,1206302000,South Cotabato,1206300000,8.298669,124.85996015709277,6.301734356000026,LAMBINGI,BANGA,CALIBRATED_SOUTH_COTABATO,3.0,1.1193618382783077,0.6539232038025483,0.03,8
11,1206302013,Lampari,Banga,1206302000,South Cotabato,1206300000,11.642332,124.88413799848684,6.301734356000026,LAMPARI,BANGA,CALIBRATED_SOUTH_COTABATO,2.0,1.0008844776883947,0.5839351115905524,0.03,5
12,1206302014,Liwanay,Banga,1206302000,South Cotabato,1206300000,7.058229,124.75982190504948,6.395372444983917,LIWANAY,BANGA,CALIBRATED_SOUTH_COTABATO,3.0,1.2074866743894566,0.7052771613051095,0.03,8
13,1206302015,Malaya,Banga,1206302000,South Cotabato,1206300000,27.710391,124.76429996498767,6.492140785798728,MALAYA,BANGA,CALIBRATED_SOUTH_COTABATO,3.0,1.2475419528824312,0.7286284796434006,0.03,11
14,1206302016,Punong Grande,Banga,1206302000,South Cotabato,1206300000,10.540254,124.74938291475698,6.440479704000069,PUNONG GRANDE,BANGA,CALIBRATED_SOUTH_COTABATO,3.0,1.4088396714499543,0.8222315602821653,0.03,7
15,1206302017,Rang-ay,Banga,1206302000,South Cotabato,1206300000,6.642569,124.80425150644884,6.407449995000036,RANG AY,BANGA,CALIBRATED_SOUTH_COTABATO,3.0,1.2911390735710018,0.753653743484838,0.03,6
16,1206302018,Reyes,Banga,1206302000,South Cotabato,1206300000,5.870636,124.7727507700929,6.437874778000064,REYES,BANGA,CALIBRATED_SOUTH_COTABATO,3.0,1.1009608032143317,0.6428219662912019,0.03,6
17,1206302019,Rizal,Banga,1206302000,South Cotabato,1206300000,13.746716,124.72391456863033,6.451455027045506,RIZAL,BANGA,CALIBRATED_SOUTH_COTABATO,3.0,1.447384360857431,0.8448497874598067,0.03,6
18,1206302020,Rizal Poblacion,Banga,1206302000,South Cotabato,1206300000,4.462407,124.76349490329426,6.421609400000051,RIZAL POBLACION,BANGA,CALIBRATED_SOUTH_COTABATO,3.0,1.5738622187190738,0.9186983654728624,0.03,6
19,1206302021,San Jose,Banga,1206302000,South Cotabato,1206300000,11.072087,124.80604621374673,6.372932298500047,SAN JOSE,BANGA,CALIBRATED_SOUTH_COTABATO,3.0,1.3416803495377512,0.7832212429952414,0.03,8
20,1206302022,San Vicente,Banga,1206302000,South Cotabato,1206300000,16.504595,124.79052855975198,6.460773258000045,SAN VICENTE,BANGA,CALIBRATED_SOUTH_COTABATO,3.0,1.3974628843940995,0.8157822950592102,0.03,6
21,1206302024,Yangco Poblacion,Banga,1206302000,South Cotabato,1206300000,0.167454,124.77812711422855,6.423605650000042,YANGCO POBLACION,BANGA,CALIBRATED_SOUTH_COTABATO,4.0,1.7208826613500685,1.0044920594100357,0.03,5
22,1206306001,Assumption,City of Koronadal,1206306000,South Cotabato,1206300000,8.534548,124.84405275543773,6.440209023500046,ASSUMPTION,KORONADAL,CALIBRATED_SOUTH_COTABATO,2.0,0.30543048747737783,0.552657658480707,0.015,5
23,1206306002,Avanceña,City of Koronadal,1206306000,South Cotabato,1206300000,7.364984,124.8745339153686,6.536357662500051,AVANCENA,KORONADAL,CALIBRATED_SOUTH_COTABATO,2.0,0.28373180867416736,0.5326648183183937,0.015,4
24,1206306003,Cacub,City of Koronadal,1206306000,South Cotabato,1206300000,27.518363,124.9598589665405,6.528076555181235,CACUB,KORONADAL,CALIBRATED_SOUTH_COTABATO,3.0,0.5484454278043822,0.7405710146936499,0.015,4
25,1206306004,Caloocan,City of Koronadal,1206306000,South Cotabato,1206300000,5.890201,124.83941244665493,6.523699026212702,CALOOCAN,KORONADAL,CALIBRATED_SOUTH_COTABATO,2.0,0.253738974448434,0.5037250980926342,0.015,6
26,1206306005,Carpenter Hill,City of Koronadal,1206306000,South Cotabato,1206300000,9.565621,124.87196062276308,6.4543075020000344,CARPENTER HILL,KORONADAL,CALIBRATED_SOUTH_COTABATO,2.0,0.3233543497996477,0.5686425501135557,0.015,6
27,1206306006,Concepcion,City of Koronadal,1206306000,South Cotabato,1206300000,8.26879,124.88883769449586,6.469399988000049,CONCEPCION,KORONADAL,CALIBRATED_SOUTH_COTABATO,2.0,0.3006374671542538,0.5483041739347365,0.015,6
28,1206306007,Esperanza,City of Koronadal,1206306000,South Cotabato,1206300000,3.314036,124.91284680731799,6.502219553500055,ESPERANZA,KORONADAL,CALIBRATED_SOUTH_COTABATO,2.0,0.1903271452387543,0.4362649942853017,0.015,5
29,1206306008,General Paulino Santos,City of Koronadal,1206306000,South Cotabato,1206300000,5.769442,124.85798332460908,6.5120629305000355,GENERAL PAULINO SANTOS,KORONADAL,CALIBRATED_SOUTH_COTABATO,2.0,0.25112446732359606,0.5011232057324786,0.015,5
30,1206306009,Mabini,City of Koronadal,1206306000,South Cotabato,1206300000,11.291225,124.94615712040752,6.54469645000006,MABINI,KORONADAL,CALIBRATED_SOUTH_COTABATO,2.0,0.3513117322175743,0.5927155575970435,0.015,5
31,1206306010,Magsaysay,City of Koronadal,1206306000,South Cotabato,1206300000,4.424019,124.91060800219645,6.46906625750006,MAGSAYSAY,KORONADAL,CALIBRATED_SOUTH_COTABATO,2.0,0.21990272667270636,0.46893787080241917,0.015,5
32,1206306011,Mambucal,City of Koronadal,1206306000,South Cotabato,1206300000,6.822037,124.82910249567362,6.46225029450005,MAMBUCAL,KORONADAL,CALIBRATED_SOUTH_COTABATO,2.0,0.27307324923426973,0.5225641101666567,0.015,6
33,1206306012,Morales,City of Koronadal,1206306000,South Cotabato,1206300000,3.372626,124.8278115696182,6.5135648970000375,MORALES,KORONADAL,CALIBRATED_SOUTH_COTABATO,2.0,0.19200220422655792,0.4381805612148466,0.015,6
34,1206306013,Namnama,City of Koronadal,1206306000,South Cotabato,1206300000,5.175287,124.86724474533261,6.519531677500055,NAMNAMA,KORONADAL,CALIBRATED_SOUTH_COTABATO,2.0,0.23784243482551967,0.48769092140977943,0.015,5
35,1206306014,New Pangasinan,City of Koronadal,1206306000,South Cotabato,1206300000,8.881179,124.8952030867558,6.492813538000064,NEW PANGASINAN,KORONADAL,CALIBRATED_SOUTH_COTABATO,2.0,0.3115712913827544,0.5581857140618652,0.015,6
36,1206306015,Paraiso,City of Koronadal,1206306000,South Cotabato,1206300000,15.079691,124.8139552991938,6.495467567500043,PARAISO,KORONADAL,CALIBRATED_SOUTH_COTABATO,2.0,0.40599281135806997,0.6371756518873505,0.015,9
