NODE_ID,PSGC,MUNICIPALITY,BARANGAY,GAP_FILLED_AREA_KM2,OVERLAP_RESOLVED_AREA_KM2
0,1206302002,Banga,Benitez,0.000000,0.000000
1,1206302003,Banga,Cabudian,0.000000,0.000000
2,1206302004,Banga,Cabuling,0.000000,0.000000
3,1206302005,Banga,Cinco,0.000000,0.000000
4,1206302006,Banga,Derilon,0.000000,0.000000
5,1206302007,Banga,El Nonok,0.784597,0.000000
6,1206302008,Banga,Improgo Village,0.000000,0.000000
7,1206302009,Banga,Kusan,0.000000,0.000000
8,1206302010,Banga,Lam-Apos,0.021361,0.000000
9,1206302011,Banga,Lamba,0.494490,0.000000
10,1206302012,Banga,Lambingi,2.612088,0.000000
11,1206302013,Banga,Lampari,0.000000,0.005162
12,1206302014,Banga,Liwanay,1.756792,0.000000
13,1206302015,Banga,Malaya,3.587905,1.321552
14,1206302016,Banga,Punong Grande,0.000000,0.000000
15,1206302017,Banga,Rang-ay,0.000000,0.000000
16,1206302018,Banga,Reyes,0.000000,0.000000
17,1206302019,Banga,Rizal,0.000000,0.616450
18,1206302020,Banga,Rizal Poblacion,0.000000,0.000000
19,1206302021,Banga,San Jose,0.000000,0.000000
20,1206302022,Banga,San Vicente,0.000000,0.000000
21,1206302024,Banga,Yangco Poblacion,0.000000,0.000000
22,1206306001,City of Koronadal,Assumption,0.000000,0.000000
23,1206306002,City of Koronadal,Avanceña,0.000000,0.000000
24,1206306003,City of Koronadal,Cacub,0.000000,0.000000
25,1206306004,City of Koronadal,Caloocan,0.000000,0.093351
26,1206306005,City of Koronadal,Carpenter Hill,0.000000,0.000000
27,1206306006,City of Koronadal,Concepcion,0.000000,0.000000
28,1206306007,City of Koronadal,Esperanza,0.000000,0.000000
29,1206306008,City of Koronadal,General Paulino Santos,0.000000,0.000000
30,1206306009,City of Koronadal,Mabini,0.000000,0.000000
31,1206306010,City of Koronadal,Magsaysay,0.000000,0.000000
32,1206306011,City of Koronadal,Mambucal,0.000000,0.000000
33,1206306012,City of Koronadal,Morales,0.000000,0.129622
34,1206306013,City of Koronadal,Namnama,0.000000,0.000000
35,1206306014,City of Koronadal,New Pangasinan,0.000000,0.000000
36,1206306015,City of Koronadal,Paraiso,0.000000,0.000000
37,1206306016,City of Koronadal,Zone I,0.000000,0.000000
38,1206306017,City of Koronadal,Zone II,0.000000,0.000000
39,1206306018,City of Koronadal,Zone III,0.000000,0.000000
40,1206306019,City of Koronadal,Zone IV,0.000000,0.000000
41,1206306020,City of Koronadal,Rotonda,0.000000,0.000000
42,1206306021,City of Koronadal,San Isidro,0.000000,0.000000
43,1206306022,City of Koronadal,San Jose,0.000000,0.000000
44,1206306023,City of Koronadal,San Roque,0.000000,0.751678
45,1206306024,City of Koronadal,Santa Cruz,0.000000,0.000000
46,1206306025,City of Koronadal,Santo Niño,0.000000,0.000000
47,1206306026,City of Koronadal,Sarabia,2.515755,0.124271
48,1206306027,City of Koronadal,Zulueta,0.000000,2.162280
49,1206319001,Lake Sebu,Bacdulong,0.000000,0.000000
50,1206319002,Lake Sebu,Denlag,2.552135,0.000000
51,1206319003,Lake Sebu,Halilan,0.000000,0.000000
52,1206319004,Lake Sebu,Hanoon,13.967095,0.000000
53,1206319005,Lake Sebu,Klubi,0.000000,0.000000
54,1206319006,Lake Sebu,Lake Lahit,0.000000,0.000000
55,1206319007,Lake Sebu,Lamcade,0.000000,0.000000
56,1206319008,Lake Sebu,Lamdalag,0.000000,0.000000
57,1206319009,Lake Sebu,Lamfugon,0.000000,0.000000
58,1206319010,Lake Sebu,Lamlahak,0.000000,0.000000
59,1206319011,Lake Sebu,Lower Maculan,0.000000,0.000000
60,1206319012,Lake Sebu,Luhib,0.000000,0.000000
61,1206319013,Lake Sebu,Ned,0.000000,0.354209
62,1206319014,Lake Sebu,Poblacion,0.000000,0.000000
63,1206319015,Lake Sebu,Siluton,0.000000,0.000000
64,1206319016,Lake Sebu,Talisay,0.000000,0.000000
65,1206319017,Lake Sebu,Takunel,0.000000,0.000000
66,1206319018,Lake Sebu,Upper Maculan,0.000000,0.000000
67,1206319019,Lake Sebu,Tasiman,0.000000,0.000000
68,1206311002,Norala,Dumaguil,0.000000,0.000000
69,1206311003,Norala,Esperanza,0.000000,0.000000
70,1206311006,Norala,Kibid,0.000000,0.000000
71,1206311007,Norala,Lapuz,0.000000,0.399896
72,1206311008,Norala,Liberty,0.000000,0.000000
73,1206311009,Norala,Lopez Jaena,0.000000,0.000000
74,1206311011,Norala,Matapol,0.000000,0.000000
75,1206311013,Norala,Poblacion,0.000000,0.034159
76,1206311014,Norala,Puti,0.000000,0.042859
77,1206311016,Norala,San Jose,0.000000,0.000000
78,1206311017,Norala,San Miguel,0.000000,0.000000
79,1206311020,Norala,Simsiman,0.000000,0.000000
80,1206311021,Norala,Tinago,0.000000,0.000567
81,1206311022,Norala,"Benigno Aquino, Jr.",0.000000,0.000000
82,1206312001,Polomolok,Bentung,0.000000,0.000000
83,1206312002,Polomolok,Crossing Palkan,0.000000,0.000000
84,1206312003,Polomolok,Glamang,0.000000,0.000000
85,1206312004,Polomolok,Kinilis,0.000000,0.000000
86,1206312005,Polomolok,Klinan 6,0.000000,0.000000
87,1206312006,Polomolok,Koronadal Proper,0.000000,0.000000
88,1206312007,Polomolok,Lam-Caliaf,0.000000,0.000000
89,1206312008,Polomolok,Landan,0.000000,0.000000
90,1206312009,Polomolok,Lumakil,0.000000,0.000000
91,1206312011,Polomolok,Maligo,0.000000,0.000000
92,1206312013,Polomolok,Palkan,0.000000,0.000000
93,1206312014,Polomolok,Poblacion,0.000000,0.000000
94,1206312015,Polomolok,Polo,0.000000,0.000000
95,1206312016,Polomolok,Magsaysay,0.000000,0.000000
96,1206312017,Polomolok,Rubber,0.006284,0.000000
97,1206312018,Polomolok,Silway 7,0.000000,0.000000
98,1206312019,Polomolok,Silway 8,0.000000,0.000000
99,1206312020,Polomolok,Sulit,0.000000,0.000000
100,1206312021,Polomolok,Sumbakil,0.000000,0.000000
101,1206312022,Polomolok,Upper Klinan,0.000000,0.000000
102,1206312023,Polomolok,Lapu,0.000000,0.000000
103,1206312024,Polomolok,Cannery Site,0.000000,0.000000
104,1206312025,Polomolok,Pagalungan,0.000000,0.000000
105,1206318001,Santo Niño,Ambalgan,0.000000,0.000000
106,1206318002,Santo Niño,Guinsang-an,0.000000,0.000000
107,1206318003,Santo Niño,Katipunan,6.368172,0.000000
108,1206318004,Santo Niño,Manuel Roxas,0.000000,0.000000
109,1206318005,Santo Niño,Panay,0.000000,0.000000
110,1206318006,Santo Niño,Poblacion,0.000000,0.000000
111,1206318007,Santo Niño,San Isidro,0.000000,0.000000
112,1206318008,Santo Niño,San Vicente,0.000000,0.000000
113,1206318009,Santo Niño,Teresita,0.426948,0.000000
