DATE,MUNICIPALITY,MUNICIPALITY_CODE,POSTERIOR_MEAN_CASES,LOWER_CREDIBLE_CASES,UPPER_CREDIBLE_CASES,MEAN_OUTBREAK_PROBABILITY,MAX_OUTBREAK_PROBABILITY,LOW_ALERT_COUNT,MODERATE_ALERT_COUNT,HIGH_ALERT_COUNT,CRITICAL_ALERT_COUNT,AUTOMATIC_OUTBREAK_ALERT_COUNT,INDIVIDUAL_OUTBREAK_ALERT_COUNT,PROBABILISTIC_OUTBREAK_ALERT_COUNT,RED_CLUSTER_OUTBREAK_ALERT_COUNT,RED_CLUSTER_LIKELY_ORIGIN_COUNT,RED_CASE_ZONE_COUNT,NEW_AUTOMATIC_OUTBREAK_ONSET_COUNT,NEW_HIGH_RISK_ONSET_COUNT,MEAN_HOTSPOT_Z_SCORE,MAX_HOTSPOT_Z_SCORE,BARANGAY_COUNT,CALIBRATED_BARANGAY_COUNT
2026-01-01,Banga,1206302000,27.396000,0.000000,90.875000,0.175636,0.264000,22,0,0,0,0,0,0,0,0,0,0,0,0.138625,2.130741,22,22
2026-01-01,City of Koronadal,1206306000,7.888000,0.000000,50.775000,0.054074,0.116000,27,0,0,0,0,0,0,0,0,0,0,0,-2.858971,-1.354483,27,27
2026-01-01,Lake Sebu,1206319000,20.404000,0.000000,73.100000,0.253684,0.372000,14,5,0,0,0,0,0,0,0,1,0,0,-0.142455,1.739278,19,19
2026-01-01,Norala,1206311000,15.672000,0.000000,52.775000,0.101714,0.148000,14,0,0,0,0,0,0,0,0,0,0,0,-0.332796,0.220458,14,14
2026-01-01,Polomolok,1206312000,51.676000,1.000000,147.875000,0.286261,0.448000,14,9,0,0,8,0,0,8,1,8,8,0,3.406552,6.970956,23,23
2026-01-01,Santo Niño,1206318000,11.940000,0.000000,42.100000,0.154400,0.228000,10,0,0,0,0,0,0,0,0,0,0,0,-0.001153,0.246093,10,10
2026-01-01,Surallah,1206313000,35.564000,0.000000,104.550000,0.123294,0.200000,17,0,0,0,7,0,0,7,1,9,7,0,2.237184,3.106231,17,17
2026-01-01,T'Boli,1206316000,28.740000,0.000000,99.875000,0.261600,0.372000,17,8,0,0,0,0,0,0,0,0,0,0,-0.018721,1.185366,25,25
2026-01-01,Tampakan,1206314000,16.596000,0.000000,54.775000,0.162571,0.268000,14,0,0,0,0,0,0,0,0,0,0,0,-0.293055,0.517390,14,14
2026-01-01,Tantangan,1206315000,4.072000,0.000000,25.550000,0.075077,0.140000,13,0,0,0,0,0,0,0,0,0,0,0,-2.432605,-1.690241,13,13
2026-01-01,Tupi,1206317000,19.356000,0.000000,64.550000,0.027200,0.168000,15,0,0,0,2,0,0,2,1,2,2,0,0.634405,2.873808,15,15
2026-02-01,Banga,1206302000,27.264000,0.000000,90.325000,0.168182,0.256000,22,0,0,0,0,0,0,0,0,0,0,0,0.156967,2.153738,22,22
2026-02-01,City of Koronadal,1206306000,8.244000,0.000000,51.550000,0.057333,0.120000,27,0,0,0,0,0,0,0,0,0,0,0,-2.866991,-1.297206,27,27
2026-02-01,Lake Sebu,1206319000,19.880000,0.000000,69.000000,0.251158,0.352000,16,3,0,0,0,0,0,0,0,0,0,0,-0.211757,1.705186,19,19
2026-02-01,Norala,1206311000,15.908000,0.000000,54.550000,0.109143,0.172000,14,0,0,0,0,0,0,0,0,0,0,0,-0.272354,0.202016,14,14
2026-02-01,Polomolok,1206312000,51.072000,1.000000,144.325000,0.290783,0.416000,13,10,0,0,9,0,0,9,1,9,1,0,3.391541,7.128788,23,23
2026-02-01,Santo Niño,1206318000,11.924000,0.000000,41.775000,0.162400,0.284000,10,0,0,0,0,0,0,0,0,0,0,0,0.014440,0.239459,10,10
2026-02-01,Surallah,1206313000,34.672000,0.000000,102.875000,0.120000,0.192000,17,0,0,0,7,0,0,7,1,8,0,0,2.201876,3.038190,17,17
2026-02-01,T'Boli,1206316000,28.744000,0.000000,100.550000,0.264000,0.368000,19,6,0,0,0,0,0,0,0,0,0,0,-0.076548,1.120141,25,25
2026-02-01,Tampakan,1206314000,17.336000,0.000000,56.550000,0.175143,0.300000,13,1,0,0,0,0,0,0,0,0,0,0,-0.113257,0.499657,14,14
2026-02-01,Tantangan,1206315000,4.028000,0.000000,24.775000,0.075692,0.172000,13,0,0,0,0,0,0,0,0,0,0,0,-2.500011,-1.617857,13,13
