DATE,PROVINCE_POSTERIOR_MEAN_CASES,PROVINCE_LOWER_CREDIBLE_CASES,PROVINCE_UPPER_CREDIBLE_CASES,CALIBRATED_POSTERIOR_MEAN_CASES,LOW_ALERT_COUNT,MODERATE_ALERT_COUNT,HIGH_ALERT_COUNT,CRITICAL_ALERT_COUNT,AUTOMATIC_OUTBREAK_ALERT_COUNT,INDIVIDUAL_OUTBREAK_ALERT_COUNT,PROBABILISTIC_OUTBREAK_ALERT_COUNT,RED_CLUSTER_OUTBREAK_ALERT_COUNT,RED_CLUSTER_LIKELY_ORIGIN_COUNT,RED_CASE_ZONE_COUNT,CLUSTER_WATCH_COUNT,RED_CLUSTER_COUNT,NEW_RED_CLUSTER_COUNT,NEW_HIGH_RISK_ONSET_COUNT,NEW_AUTOMATIC_OUTBREAK_ONSET_COUNT,MORANS_I,MEAN_CREDIBLE_INTERVAL_WIDTH,BAYESIAN_UPDATE_COUNT
2026-01-01,239.304000,1.000000,806.800000,239.304000,177,22,0,0,17,0,0,17,3,20,2,3,3,0,17,0.606824,4.049246,0
2026-02-01,238.096000,1.000000,802.375000,238.096000,179,20,0,0,16,0,0,16,2,18,0,2,0,0,1,0.619807,4.027010,0
2026-03-01,240.068000,1.000000,809.150000,240.068000,174,25,0,0,7,0,0,7,2,14,2,2,0,0,1,0.606907,4.061055,0
2026-04-01,242.136000,2.000000,816.700000,242.136000,172,27,0,0,6,0,0,6,1,15,4,1,0,0,3,0.586400,4.093970,0
2026-05-01,241.872000,1.000000,807.825000,241.872000,176,23,0,0,16,0,0,16,3,20,0,3,2,0,10,0.628081,4.054397,0
2026-06-01,242.864000,2.000000,809.700000,242.864000,169,30,0,0,12,0,0,12,2,17,2,2,0,0,2,0.639927,4.058794,0
2026-07-01,245.988000,1.225000,830.250000,245.988000,171,28,0,0,6,0,0,6,1,14,4,1,0,0,0,0.626042,4.165955,0
2026-08-01,245.888000,2.000000,826.575000,245.888000,168,31,0,0,7,0,0,7,1,15,4,1,0,0,1,0.624676,4.143593,0
2026-09-01,245.944000,2.000000,822.925000,245.944000,169,30,0,0,17,0,0,17,2,20,2,2,1,0,11,0.633908,4.125251,0
2026-10-01,248.800000,1.225000,823.925000,248.800000,177,22,0,0,11,0,0,11,2,15,2,2,0,0,2,0.641521,4.134171,0
2026-11-01,249.392000,2.000000,830.375000,249.392000,169,30,0,0,9,0,0,9,2,15,4,2,0,0,0,0.638706,4.162688,0
2026-12-01,250.100000,1.000000,826.275000,250.100000,175,24,0,0,9,0,0,9,2,15,4,2,0,0,0,0.640053,4.147111,0
2027-01-01,245.040000,2.000000,828.925000,245.040000,169,30,0,0,9,0,0,9,1,16,2,1,0,0,6,0.633950,4.155402,0
2027-02-01,242.572000,1.000000,809.025000,242.572000,165,34,0,0,9,0,0,9,1,16,4,1,0,0,0,0.636125,4.060427,0
2027-03-01,244.656000,1.225000,822.600000,244.656000,166,33,0,0,17,0,0,17,2,20,2,2,1,0,8,0.612985,4.127513,0
2027-04-01,245.392000,1.000000,818.075000,245.392000,168,31,0,0,20,0,0,20,2,24,0,2,0,0,3,0.621420,4.105905,0
2027-05-01,246.984000,1.225000,827.050000,246.984000,168,31,0,0,11,0,0,11,2,16,4,2,0,0,0,0.610840,4.149874,0
2027-06-01,247.452000,1.000000,824.375000,247.452000,171,28,0,0,19,0,0,19,2,21,0,2,0,0,8,0.610828,4.137563,0
2027-07-01,248.844000,2.000000,835.600000,248.844000,173,26,0,0,18,0,0,18,2,19,0,2,0,0,2,0.629294,4.188945,0
2027-08-01,249.428000,1.000000,829.150000,249.428000,168,31,0,0,19,0,0,19,2,20,0,2,0,0,2,0.632527,4.161558,0
2027-09-01,249.568000,1.000000,832.925000,249.568000,172,27,0,0,10,0,0,10,2,14,2,2,0,0,0,0.643822,4.180528,0
2027-10-01,249.252000,2.000000,828.725000,249.252000,174,25,0,0,11,0,0,11,2,17,4,2,0,0,5,0.637124,4.154397,0
2027-11-01,252.504000,1.000000,849.575000,252.504000,167,32,0,0,12,0,0,12,2,16,2,2,0,0,3,0.626837,4.264196,0
2027-12-01,251.496000,2.000000,831.375000,251.496000,169,30,0,0,15,0,0,15,2,18,2,2,0,0,8,0.637293,4.167714,0
2028-01-01,249.532000,2.000000,835.700000,249.532000,162,37,0,0,16,0,0,16,2,18,0,2,0,0,4,0.623884,4.189447,0
2028-02-01,246.580000,1.000000,831.475000,246.580000,165,34,0,0,8,0,0,8,1,18,4,1,0,0,1,0.630556,4.173241,0
2028-03-01,247.900000,1.000000,826.025000,247.900000,158,41,0,0,17,0,0,17,2,20,0,2,1,0,9,0.630153,4.145854,0
2028-04-01,250.792000,1.000000,839.350000,250.792000,162,37,0,0,12,0,0,12,2,16,2,2,0,0,0,0.617695,4.212814,0
2028-05-01,249.500000,1.000000,836.600000,249.500000,164,35,0,0,16,0,0,16,2,20,2,2,0,0,4,0.639192,4.198995,0
2028-06-01,248.812000,2.000000,838.025000,248.812000,166,33,0,0,9,0,0,9,1,18,6,1,0,0,0,0.612911,4.201131,0
2028-07-01,250.068000,1.000000,841.575000,250.068000,160,39,0,0,15,0,0,15,2,18,2,2,1,0,6,0.622658,4.223995,0
2028-08-01,251.840000,1.000000,846.150000,251.840000,165,34,0,0,13,0,0,13,2,16,2,2,0,0,0,0.630628,4.246985,0
2028-09-01,253.108000,2.000000,843.575000,253.108000,162,37,0,0,20,0,0,20,2,21,0,2,0,0,7,0.643670,4.229020,0
2028-10-01,254.324000,1.000000,858.150000,254.324000,168,31,0,0,15,0,0,15,2,17,0,2,0,0,2,0.642745,4.307286,0
2028-11-01,254.108000,1.000000,851.150000,254.108000,165,34,0,0,22,0,0,22,2,23,0,2,0,0,8,0.668078,4.272111,0
2028-12-01,257.544000,2.000000,853.950000,257.544000,166,33,0,0,15,0,0,15,2,18,2,2,0,0,0,0.633800,4.281156,0
2029-01-01,250.172000,1.000000,846.700000,250.172000,161,38,0,0,16,0,0,16,2,18,0,2,0,0,1,0.642400,4.249749,0
2029-02-01,250.516000,1.000000,842.025000,250.516000,157,42,0,0,12,0,0,12,2,18,2,2,0,0,1,0.634871,4.226256,0
2029-03-01,250.380000,1.000000,850.475000,250.380000,167,32,0,0,14,0,0,14,2,18,0,2,0,0,3,0.611466,4.268719,0
2029-04-01,250.356000,2.000000,845.600000,250.356000,157,42,0,0,15,0,0,15,2,19,0,2,0,0,4,0.636023,4.239196,0
2029-05-01,251.492000,1.000000,854.700000,251.492000,158,41,0,0,14,0,0,14,2,18,2,2,0,0,4,0.644156,4.289950,0
2029-06-01,253.436000,1.225000,854.500000,253.436000,166,33,0,0,19,0,0,19,2,20,0,2,0,0,6,0.630436,4.287814,0
2029-07-01,253.468000,1.225000,850.150000,253.468000,159,40,0,0,13,0,0,13,3,19,2,3,0,0,2,0.627516,4.265955,0
2029-08-01,256.140000,1.000000,868.125000,256.140000,161,38,0,0,19,0,0,19,2,23,2,2,0,0,7,0.641074,4.357412,0
2029-09-01,256.680000,2.000000,861.500000,256.680000,163,36,0,0,16,0,0,16,2,18,0,2,0,0,1,0.646663,4.319095,0
2029-10-01,255.916000,1.000000,858.700000,255.916000,161,38,0,0,17,0,0,17,2,18,0,2,0,0,4,0.638140,4.310050,0
2029-11-01,255.352000,1.225000,858.150000,255.352000,164,35,0,0,10,0,0,10,1,19,8,1,0,0,2,0.641784,4.306156,0
2029-12-01,259.476000,2.000000,873.400000,259.476000,167,32,0,0,6,0,0,6,2,14,4,2,1,0,3,0.632262,4.378894,0
2030-01-01,253.548000,0.000000,857.275000,253.548000,158,41,0,0,21,0,0,21,2,23,0,2,0,0,15,0.640221,4.307915,0
2030-02-01,253.136000,0.450000,848.475000,253.136000,159,40,0,0,21,0,0,21,2,23,0,2,0,0,1,0.636363,4.261432,0
2030-03-01,253.252000,2.000000,853.825000,253.252000,159,40,0,0,7,0,0,7,1,15,2,1,0,0,0,0.607035,4.280528,0
2030-04-01,252.548000,2.000000,859.025000,252.548000,158,41,0,0,23,0,0,23,2,25,0,2,1,0,16,0.611368,4.306658,0
2030-05-01,255.520000,1.000000,863.050000,255.520000,155,44,0,0,15,0,0,15,2,19,2,2,0,0,0,0.632579,4.331910,0
2030-06-01,256.620000,0.000000,867.375000,256.620000,163,36,0,0,5,0,0,5,1,12,4,1,0,0,0,0.646805,4.358668,0
2030-07-01,257.064000,2.000000,885.350000,257.064000,159,40,0,0,13,0,0,13,2,16,0,2,1,0,8,0.638064,4.438945,0
2030-08-01,259.788000,1.000000,888.450000,259.788000,157,42,0,0,17,0,0,17,2,19,0,2,0,0,6,0.633896,4.459548,0
2030-09-01,260.072000,1.000000,869.250000,260.072000,159,40,0,0,16,0,0,16,2,20,2,2,0,0,4,0.636397,4.363065,0
2030-10-01,261.660000,0.225000,878.500000,261.660000,153,46,0,0,17,0,0,17,2,19,0,2,0,0,3,0.651078,4.413442,0
2030-11-01,260.308000,2.000000,877.800000,260.308000,166,33,0,0,22,0,0,22,2,23,0,2,0,0,6,0.628989,4.401005,0
2030-12-01,260.540000,1.225000,884.800000,260.540000,156,43,0,0,21,0,0,21,2,22,0,2,0,0,2,0.662979,4.440075,0
2031-01-01,256.968000,2.000000,872.050000,256.968000,154,45,0,0,7,0,0,7,1,11,2,1,0,0,0,0.613033,4.372111,0
2031-02-01,257.028000,1.000000,878.925000,257.028000,155,44,0,0,15,0,0,15,2,17,0,2,1,0,8,0.650831,4.411683,0
2031-03-01,257.044000,2.000000,873.375000,257.044000,163,36,0,0,12,0,0,12,2,16,0,2,0,0,0,0.623520,4.378769,0
2031-04-01,257.396000,2.000000,875.150000,257.396000,158,41,0,0,14,0,0,14,2,16,0,2,0,0,2,0.649989,4.387688,0
2031-05-01,255.928000,0.225000,878.925000,255.928000,155,44,0,0,9,0,0,9,1,18,6,1,0,0,0,0.632668,4.415578,0
2031-06-01,257.600000,2.000000,872.375000,257.600000,155,44,0,0,20,0,0,20,2,22,0,2,1,0,11,0.634379,4.373744,0
2031-07-01,257.588000,1.225000,882.925000,257.588000,156,43,0,0,19,0,0,19,2,22,2,2,0,0,3,0.642266,4.430653,0
2031-08-01,257.156000,1.000000,889.800000,257.156000,159,40,0,0,21,0,0,21,2,22,0,2,0,0,4,0.647632,4.466332,0
2031-09-01,258.472000,2.000000,885.375000,258.472000,161,38,0,0,16,0,0,16,2,19,0,2,0,0,2,0.617977,4.439070,0
2031-10-01,260.936000,1.000000,891.150000,260.936000,159,40,0,0,20,0,0,20,2,21,0,2,0,0,7,0.627983,4.473116,0
2031-11-01,265.100000,1.000000,903.250000,265.100000,161,38,0,0,13,0,0,13,2,17,2,2,0,0,0,0.627352,4.533920,0
