MUNICIPALITY_CODE,MUNICIPALITY,PROVINCE,BARANGAY_COUNT,CALIBRATED_BARANGAY_COUNT
1206302000,Banga,South Cotabato,22,22
1206306000,City of Koronadal,South Cotabato,27,27
1206319000,Lake Sebu,South Cotabato,19,19
1206311000,Norala,South Cotabato,14,14
1206312000,Polomolok,South Cotabato,23,23
1206318000,Santo Niño,South Cotabato,10,10
1206313000,Surallah,South Cotabato,17,17
1206316000,T'Boli,South Cotabato,25,25
1206314000,Tampakan,South Cotabato,14,14
1206315000,Tantangan,South Cotabato,13,13
1206317000,Tupi,South Cotabato,15,15
