MUNICIPALITY,OUTBREAK_FACTOR,MEAN_FACTOR_SHARE,DOMINANT_FORECAST_BARANGAY_MONTHS,HIGH_RISK_DOMINANT_BARANGAY_MONTHS,OUTBREAK_ONSET_MONTHS
Banga,Seasonal baseline,0.549529,6600,0,0
Banga,Recent-case persistence,0.199819,0,0,0
Banga,Neighbour spillover,0.177651,0,0,0
Banga,Long-term trend,0.048075,0,0,0
Banga,Bayesian evidence update,0.024927,0,0,0
Banga,High-risk cluster pressure,0.000000,0,0,0
City of Koronadal,Seasonal baseline,0.520789,8090,0,0
City of Koronadal,Neighbour spillover,0.216325,0,0,0
City of Koronadal,Recent-case persistence,0.194880,0,0,0
City of Koronadal,Bayesian evidence update,0.045511,10,0,0
City of Koronadal,Long-term trend,0.022495,0,0,0
City of Koronadal,High-risk cluster pressure,0.000000,0,0,0
Lake Sebu,Seasonal baseline,0.531309,5700,0,3
Lake Sebu,Recent-case persistence,0.199190,0,0,0
Lake Sebu,Neighbour spillover,0.197640,0,0,0
Lake Sebu,Long-term trend,0.045412,0,0,0
Lake Sebu,Bayesian evidence update,0.026449,0,0,0
Lake Sebu,High-risk cluster pressure,0.000000,0,0,0
Norala,Seasonal baseline,0.574859,4200,0,0
Norala,Recent-case persistence,0.199603,0,0,0
Norala,Neighbour spillover,0.176856,0,0,0
Norala,Bayesian evidence update,0.026447,0,0,0
Norala,Long-term trend,0.022235,0,0,0
Norala,High-risk cluster pressure,0.000000,0,0,0
Polomolok,Seasonal baseline,0.541784,6900,0,379
Polomolok,Recent-case persistence,0.200628,0,0,0
Polomolok,Neighbour spillover,0.187289,0,0,0
Polomolok,Long-term trend,0.047394,0,0,0
Polomolok,Bayesian evidence update,0.022904,0,0,0
Polomolok,High-risk cluster pressure,0.000000,0,0,0
Santo Niño,Seasonal baseline,0.578314,3000,0,0
Santo Niño,Recent-case persistence,0.199334,0,0,0
Santo Niño,Neighbour spillover,0.181176,0,0,0
Santo Niño,Bayesian evidence update,0.025701,0,0,0
Santo Niño,Long-term trend,0.015475,0,0,0
Santo Niño,High-risk cluster pressure,0.000000,0,0,0
Surallah,Seasonal baseline,0.571835,5100,0,669
Surallah,Recent-case persistence,0.200758,0,0,0
Surallah,Neighbour spillover,0.155278,0,0,0
Surallah,Long-term trend,0.050056,0,0,0
Surallah,Bayesian evidence update,0.022072,0,0,0
Surallah,High-risk cluster pressure,0.000000,0,0,0
T'Boli,Seasonal baseline,0.542337,7500,0,0
T'Boli,Recent-case persistence,0.199579,0,0,0
T'Boli,Neighbour spillover,0.184539,0,0,0
T'Boli,Long-term trend,0.047445,0,0,0
T'Boli,Bayesian evidence update,0.026101,0,0,0
T'Boli,High-risk cluster pressure,0.000000,0,0,0
Tampakan,Seasonal baseline,0.572808,4200,0,0
Tampakan,Recent-case persistence,0.200156,0,0,0
Tampakan,Neighbour spillover,0.168875,0,0,0
Tampakan,Long-term trend,0.032125,0,0,0
Tampakan,Bayesian evidence update,0.026037,0,0,0
Tampakan,High-risk cluster pressure,0.000000,0,0,0
Tantangan,Seasonal baseline,0.496232,3796,0,0
Tantangan,Neighbour spillover,0.241888,99,0,0
Tantangan,Recent-case persistence,0.195681,0,0,0
Tantangan,Bayesian evidence update,0.044776,5,0,0
Tantangan,Long-term trend,0.021424,0,0,0
Tantangan,High-risk cluster pressure,0.000000,0,0,0
Tupi,Seasonal baseline,0.548971,4446,0,2
Tupi,Neighbour spillover,0.223293,54,0,0
Tupi,Recent-case persistence,0.199486,0,0,0
Tupi,Bayesian evidence update,0.028250,0,0,0
Tupi,Long-term trend,0.000000,0,0,0
Tupi,High-risk cluster pressure,0.000000,0,0,0
