DATE,RED_CLUSTER_ID,CLUSTER_SIZE,NEW_CLUSTER_ONSET,LIKELY_ORIGIN_PSGC,LIKELY_ORIGIN_MUNICIPALITY,LIKELY_ORIGIN_BARANGAY,MEMBER_PSGC_LIST,MEMBER_NAME_LIST,MUNICIPALITY_LIST,PROJECTED_CLUSTER_CASES,MEAN_OUTBREAK_PROBABILITY,MAX_OUTBREAK_PROBABILITY,DOMINANT_FACTOR_MODE
2026-01-01,1,7,True,1206312016,Polomolok,Magsaysay,1206312024; 1206312003; 1206312016; 1206312025; 1206312014; 1206312017; 1206312022,Cannery Site (Polomolok); Glamang (Polomolok); Magsaysay (Polomolok); Pagalungan (Polomolok); Poblacion (Polomolok); Rubber (Polomolok); Upper Klinan (Polomolok),Polomolok,23.780000,0.269714,0.436000,Seasonal baseline
2026-01-01,2,3,True,1206317014,Tupi,Polonuling,1206312013; 1206317013; 1206317014,Palkan (Polomolok); Poblacion (Tupi); Polonuling (Tupi),Polomolok; Tupi,7.716000,0.068000,0.200000,Seasonal baseline
2026-01-01,3,7,True,1206313006,Surallah,Duengas,1206313008; 1206313003; 1206313004; 1206313006; 1206313019; 1206313020; 1206313023,Canahay (Surallah); Centrala (Surallah); Colongulo (Surallah); Duengas (Surallah); Libertad (Surallah); Little Baguio (Surallah); Moloy (Surallah),Surallah,16.312000,0.117714,0.200000,Seasonal baseline
2026-02-01,1,9,False,1206312022,Polomolok,Upper Klinan,1206312024; 1206312003; 1206312007; 1206312016; 1206312025; 1206312013; 1206312014; 1206312017; 1206312022,Cannery Site (Polomolok); Glamang (Polomolok); Lam-Caliaf (Polomolok); Magsaysay (Polomolok); Pagalungan (Polomolok); Palkan (Polomolok); Poblacion (Polomolok); Rubber (Polomolok); Upper Klinan (Polomolok),Polomolok,27.748000,0.267111,0.392000,Seasonal baseline
2026-02-01,2,7,False,1206313003,Surallah,Centrala,1206313008; 1206313003; 1206313004; 1206313006; 1206313019; 1206313020; 1206313023,Canahay (Surallah); Centrala (Surallah); Colongulo (Surallah); Duengas (Surallah); Libertad (Surallah); Little Baguio (Surallah); Moloy (Surallah),Surallah,15.908000,0.111429,0.184000,Seasonal baseline
2026-03-01,1,4,False,1206312025,Polomolok,Pagalungan,1206312024; 1206312025; 1206312014; 1206312022,Cannery Site (Polomolok); Pagalungan (Polomolok); Poblacion (Polomolok); Upper Klinan (Polomolok),Polomolok,16.168000,0.255000,0.400000,Seasonal baseline
2026-03-01,2,3,False,1206313019,Surallah,Libertad,1206313003; 1206313019; 1206313030,Centrala (Surallah); Libertad (Surallah); Tubiala (Surallah),Surallah,7.228000,0.125333,0.220000,Seasonal baseline
2026-04-01,1,6,False,1206312014,Polomolok,Poblacion,1206312024; 1206312003; 1206312016; 1206312025; 1206312014; 1206312017,Cannery Site (Polomolok); Glamang (Polomolok); Magsaysay (Polomolok); Pagalungan (Polomolok); Poblacion (Polomolok); Rubber (Polomolok),Polomolok,21.284000,0.234000,0.388000,Seasonal baseline
2026-05-01,1,8,False,1206312003,Polomolok,Glamang,1206312024; 1206312003; 1206312016; 1206312025; 1206312014; 1206312017; 1206312019; 1206312022,Cannery Site (Polomolok); Glamang (Polomolok); Magsaysay (Polomolok); Pagalungan (Polomolok); Poblacion (Polomolok); Rubber (Polomolok); Silway 8 (Polomolok); Upper Klinan (Polomolok),Polomolok,24.800000,0.262500,0.364000,Seasonal baseline
2026-05-01,2,5,True,1206313019,Surallah,Libertad,1206313003; 1206313018; 1206313019; 1206313030; 1206313032,Centrala (Surallah); Lamsugod (Surallah); Libertad (Surallah); Tubiala (Surallah); Veterans (Surallah),Surallah,12.036000,0.122400,0.188000,Seasonal baseline
2026-05-01,3,3,True,1206313023,Surallah,Moloy,1206313006; 1206313023; 1206313028,Duengas (Surallah); Moloy (Surallah); Talahik (Surallah),Surallah,6.684000,0.168000,0.200000,Seasonal baseline
2026-06-01,1,6,False,1206312024,Polomolok,Cannery Site,1206312024; 1206312003; 1206312016; 1206312025; 1206312014; 1206312017,Cannery Site (Polomolok); Glamang (Polomolok); Magsaysay (Polomolok); Pagalungan (Polomolok); Poblacion (Polomolok); Rubber (Polomolok),Polomolok,21.316000,0.251333,0.444000,Seasonal baseline
2026-06-01,2,6,False,1206313023,Surallah,Moloy,1206313003; 1206313004; 1206313006; 1206313019; 1206313020; 1206313023,Centrala (Surallah); Colongulo (Surallah); Duengas (Surallah); Libertad (Surallah); Little Baguio (Surallah); Moloy (Surallah),Surallah,14.852000,0.126000,0.220000,Seasonal baseline
2026-07-01,1,6,False,1206312014,Polomolok,Poblacion,1206312024; 1206312003; 1206312016; 1206312025; 1206312014; 1206312017,Cannery Site (Polomolok); Glamang (Polomolok); Magsaysay (Polomolok); Pagalungan (Polomolok); Poblacion (Polomolok); Rubber (Polomolok),Polomolok,21.944000,0.262000,0.416000,Seasonal baseline
2026-08-01,1,7,False,1206312017,Polomolok,Rubber,1206312024; 1206312003; 1206312016; 1206312025; 1206312014; 1206312017; 1206312022,Cannery Site (Polomolok); Glamang (Polomolok); Magsaysay (Polomolok); Pagalungan (Polomolok); Poblacion (Polomolok); Rubber (Polomolok); Upper Klinan (Polomolok),Polomolok,24.472000,0.285714,0.428000,Seasonal baseline
