MUNICIPALITY,BARANGAY,MATCH_STATUS,MATCH_METHOD,MATCH_SCORE,NODE_ID,PSGC,BOUNDARY_MUNICIPALITY,BOUNDARY_BARANGAY
BANGA,BENITEZ,MATCHED,EXACT_NORMALIZED,1.0,0.0,1206302002,Banga,Benitez
BANGA,CABUDIAN,MATCHED,EXACT_NORMALIZED,1.0,1.0,1206302003,Banga,Cabudian
BANGA,CABULING,MATCHED,EXACT_NORMALIZED,1.0,2.0,1206302004,Banga,Cabuling
BANGA,CINCO,MATCHED,EXACT_NORMALIZED,1.0,3.0,1206302005,Banga,Cinco
BANGA,DERILON,MATCHED,EXACT_NORMALIZED,1.0,4.0,1206302006,Banga,Derilon
BANGA,EL NONOK,MATCHED,EXACT_NORMALIZED,1.0,5.0,1206302007,Banga,El Nonok
BANGA,IMPROGO VILLAGE,MATCHED,EXACT_NORMALIZED,1.0,6.0,1206302008,Banga,Improgo Village
BANGA,KUSAN,MATCHED,EXACT_NORMALIZED,1.0,7.0,1206302009,Banga,Kusan
BANGA,LAM-APOS,MATCHED,EXACT_NORMALIZED,1.0,8.0,1206302010,Banga,Lam-Apos
BANGA,LAMBA,MATCHED,EXACT_NORMALIZED,1.0,9.0,1206302011,Banga,Lamba
BANGA,LAMBINGI,MATCHED,EXACT_NORMALIZED,1.0,10.0,1206302012,Banga,Lambingi
BANGA,LAMPARI,MATCHED,EXACT_NORMALIZED,1.0,11.0,1206302013,Banga,Lampari
BANGA,LIWANAY,MATCHED,EXACT_NORMALIZED,1.0,12.0,1206302014,Banga,Liwanay
BANGA,MALAYA,MATCHED,EXACT_NORMALIZED,1.0,13.0,1206302015,Banga,Malaya
BANGA,PUNONG GRANDE,MATCHED,EXACT_NORMALIZED,1.0,14.0,1206302016,Banga,Punong Grande
BANGA,RANG-AY,MATCHED,EXACT_NORMALIZED,1.0,15.0,1206302017,Banga,Rang-ay
BANGA,REYES,MATCHED,EXACT_NORMALIZED,1.0,16.0,1206302018,Banga,Reyes
BANGA,RIZAL,MATCHED,EXACT_NORMALIZED,1.0,17.0,1206302019,Banga,Rizal
BANGA,RIZAL POBLACION,MATCHED,EXACT_NORMALIZED,1.0,18.0,1206302020,Banga,Rizal Poblacion
BANGA,SAN JOSE,MATCHED,EXACT_NORMALIZED,1.0,19.0,1206302021,Banga,San Jose
BANGA,SAN VICENTE,MATCHED,EXACT_NORMALIZED,1.0,20.0,1206302022,Banga,San Vicente
BANGA,YANGCO POBLACION,MATCHED,EXACT_NORMALIZED,1.0,21.0,1206302024,Banga,Yangco Poblacion
LAKE SEBU,BACDULONG,MATCHED,EXACT_NORMALIZED,1.0,49.0,1206319001,Lake Sebu,Bacdulong
LAKE SEBU,DENLAG,MATCHED,EXACT_NORMALIZED,1.0,50.0,1206319002,Lake Sebu,Denlag
LAKE SEBU,HALILAN,MATCHED,EXACT_NORMALIZED,1.0,51.0,1206319003,Lake Sebu,Halilan
LAKE SEBU,HANOON,MATCHED,EXACT_NORMALIZED,1.0,52.0,1206319004,Lake Sebu,Hanoon
LAKE SEBU,KLUDI,UNMATCHED,FUZZY_NAME,0.8,,,,
LAKE SEBU,LAKE LAHIT,MATCHED,EXACT_NORMALIZED,1.0,54.0,1206319006,Lake Sebu,Lake Lahit
LAKE SEBU,LAMCADE,MATCHED,EXACT_NORMALIZED,1.0,55.0,1206319007,Lake Sebu,Lamcade
LAKE SEBU,LAMDALAG,MATCHED,EXACT_NORMALIZED,1.0,56.0,1206319008,Lake Sebu,Lamdalag
LAKE SEBU,LAMFUGON,MATCHED,EXACT_NORMALIZED,1.0,57.0,1206319009,Lake Sebu,Lamfugon
