PSGC,PROVINCE,MUNICIPALITY,BARANGAY,CALIBRATION_STATUS,MEAN_OUTBREAK_PROBABILITY,MAX_OUTBREAK_PROBABILITY,MEAN_POSTERIOR_CASES,MAX_POSTERIOR_CASES,AUTOMATIC_ALERT_MONTHS,MAX_HOTSPOT_Z_SCORE
1206312024,South Cotabato,Polomolok,Cannery Site,CALIBRATED_SOUTH_COTABATO,0.257080,0.344000,5.510680,6.304000,299,7.167273
1206312014,South Cotabato,Polomolok,Poblacion,CALIBRATED_SOUTH_COTABATO,0.205800,0.284000,6.956147,7.992000,299,7.570658
1206312025,South Cotabato,Polomolok,Pagalungan,CALIBRATED_SOUTH_COTABATO,0.303253,0.400000,2.768520,3.340000,298,5.767872
1206312017,South Cotabato,Polomolok,Rubber,CALIBRATED_SOUTH_COTABATO,0.299453,0.380000,2.734573,3.276000,276,3.141937
1206312016,South Cotabato,Polomolok,Magsaysay,CALIBRATED_SOUTH_COTABATO,0.417493,0.512000,2.567213,3.096000,268,6.184779
1206312003,South Cotabato,Polomolok,Glamang,CALIBRATED_SOUTH_COTABATO,0.285573,0.384000,2.646747,3.136000,267,3.551049
1206312022,South Cotabato,Polomolok,Upper Klinan,CALIBRATED_SOUTH_COTABATO,0.398067,0.488000,2.440440,2.980000,231,4.798764
1206313019,South Cotabato,Surallah,Libertad,CALIBRATED_SOUTH_COTABATO,0.153747,0.244000,3.023760,3.656000,229,3.148178
1206313003,South Cotabato,Surallah,Centrala,CALIBRATED_SOUTH_COTABATO,0.129653,0.220000,2.798387,3.424000,229,4.193749
1206313023,South Cotabato,Surallah,Moloy,CALIBRATED_SOUTH_COTABATO,0.183893,0.276000,2.649387,3.348000,215,3.872705
1206313004,South Cotabato,Surallah,Colongulo,CALIBRATED_SOUTH_COTABATO,0.153053,0.244000,2.414960,2.996000,197,3.746039
1206312007,South Cotabato,Polomolok,Lam-Caliaf,CALIBRATED_SOUTH_COTABATO,0.388667,0.488000,2.397440,2.884000,189,7.322091
1206313020,South Cotabato,Surallah,Little Baguio,CALIBRATED_SOUTH_COTABATO,0.179333,0.276000,2.618053,3.264000,188,1.962464
1206312013,South Cotabato,Polomolok,Palkan,CALIBRATED_SOUTH_COTABATO,0.272147,0.380000,2.551440,3.084000,178,2.773302
1206312019,South Cotabato,Polomolok,Silway 8,CALIBRATED_SOUTH_COTABATO,0.376867,0.468000,2.323080,2.780000,140,7.517945
1206313006,South Cotabato,Surallah,Duengas,CALIBRATED_SOUTH_COTABATO,0.237800,0.332000,2.343067,3.096000,131,3.239040
1206313008,South Cotabato,Surallah,Canahay,CALIBRATED_SOUTH_COTABATO,0.141147,0.256000,2.322360,2.880000,102,2.832394
1206313018,South Cotabato,Surallah,Lamsugod,CALIBRATED_SOUTH_COTABATO,0.151213,0.268000,2.399040,3.028000,82,2.991747
1206313028,South Cotabato,Surallah,Talahik,CALIBRATED_SOUTH_COTABATO,0.223533,0.336000,2.251427,2.856000,75,3.402394
1206313024,South Cotabato,Surallah,Naci,CALIBRATED_SOUTH_COTABATO,0.219907,0.332000,2.235200,2.764000,74,3.084771
1206313032,South Cotabato,Surallah,Veterans,CALIBRATED_SOUTH_COTABATO,0.158347,0.240000,2.455080,2.948000,70,1.918916
1206313030,South Cotabato,Surallah,Tubiala,CALIBRATED_SOUTH_COTABATO,0.212040,0.296000,2.183813,2.696000,50,3.142510
1206313005,South Cotabato,Surallah,Dajay,CALIBRATED_SOUTH_COTABATO,0.205707,0.296000,2.150587,2.800000,35,4.167298
1206312018,South Cotabato,Polomolok,Silway 7,CALIBRATED_SOUTH_COTABATO,0.340000,0.452000,2.132160,2.564000,27,3.286697
1206313031,South Cotabato,Surallah,Upper Sepaka,CALIBRATED_SOUTH_COTABATO,0.200827,0.312000,2.114427,2.752000,23,3.047346
1206312004,South Cotabato,Polomolok,Kinilis,CALIBRATED_SOUTH_COTABATO,0.327853,0.420000,2.067493,2.424000,7,4.212822
1206312005,South Cotabato,Polomolok,Klinan 6,CALIBRATED_SOUTH_COTABATO,0.323320,0.416000,2.053880,2.448000,6,2.705069
1206312002,South Cotabato,Polomolok,Crossing Palkan,CALIBRATED_SOUTH_COTABATO,0.331133,0.416000,2.074093,2.416000,6,2.603953
1206312009,South Cotabato,Polomolok,Lumakil,CALIBRATED_SOUTH_COTABATO,0.308933,0.444000,1.982507,2.440000,5,5.358398
1206313002,South Cotabato,Surallah,Buenavista,CALIBRATED_SOUTH_COTABATO,0.190747,0.272000,2.057587,2.508000,5,3.111945
1206319013,South Cotabato,Lake Sebu,Ned,CALIBRATED_SOUTH_COTABATO,0.214133,0.300000,2.207053,2.656000,4,1.275851
1206312015,South Cotabato,Polomolok,Polo,CALIBRATED_SOUTH_COTABATO,0.303947,0.400000,1.947080,2.256000,1,4.619681
1206312008,South Cotabato,Polomolok,Landan,CALIBRATED_SOUTH_COTABATO,0.312107,0.396000,1.991547,2.336000,1,1.912253
1206317014,South Cotabato,Tupi,Polonuling,CALIBRATED_SOUTH_COTABATO,0.005293,0.028000,1.766227,2.168000,1,2.022771
1206317013,South Cotabato,Tupi,Poblacion,CALIBRATED_SOUTH_COTABATO,0.000693,0.016000,2.948187,3.588000,1,1.909591
1206312011,South Cotabato,Polomolok,Maligo,CALIBRATED_SOUTH_COTABATO,0.431960,0.520000,1.633067,1.936000,0,2.511232
1206312023,South Cotabato,Polomolok,Lapu,CALIBRATED_SOUTH_COTABATO,0.367440,0.480000,1.373813,1.736000,0,0.985929
1206312001,South Cotabato,Polomolok,Bentung,CALIBRATED_SOUTH_COTABATO,0.394093,0.472000,1.477413,1.776000,0,1.235246
1206312021,South Cotabato,Polomolok,Sumbakil,CALIBRATED_SOUTH_COTABATO,0.377173,0.464000,1.407093,1.768000,0,1.505664
1206319002,South Cotabato,Lake Sebu,Denlag,CALIBRATED_SOUTH_COTABATO,0.330560,0.460000,1.241667,1.564000,0,-0.515736
1206316032,South Cotabato,T'Boli,T'bolok,CALIBRATED_SOUTH_COTABATO,0.348320,0.444000,1.303000,1.656000,0,0.020283
1206316012,South Cotabato,T'Boli,Sinolon,CALIBRATED_SOUTH_COTABATO,0.350280,0.440000,1.315933,1.656000,0,0.998712
1206316004,South Cotabato,T'Boli,Kematu,CALIBRATED_SOUTH_COTABATO,0.350267,0.436000,1.314613,1.616000,0,0.747405
1206316030,South Cotabato,T'Boli,Mongocayo,CALIBRATED_SOUTH_COTABATO,0.299267,0.436000,1.128680,1.432000,0,0.180851
1206319008,South Cotabato,Lake Sebu,Lamdalag,CALIBRATED_SOUTH_COTABATO,0.327933,0.428000,1.224000,1.480000,0,-0.608509
1206316001,South Cotabato,T'Boli,Basag,CALIBRATED_SOUTH_COTABATO,0.340667,0.420000,1.277627,1.508000,0,1.830141
